ALA  2.0000    1.4869    2.5388    1.4909    1.7762    1.6335    2.6037    1.4713    2.5330
CYS  2.0000    1.4946    2.5671    1.4782    1.9122    1.7308    2.6124    1.4780    2.5479
ASP  2.0000    1.4875    2.5004    1.4884    1.8486    1.5810    2.5754    1.4830    2.5018
GLU  2.0000    1.4849    2.4884    1.4951    1.8284    1.6298    2.5510    1.4695    2.4934
PHE  2.0000    1.5051    2.5519    1.5055    1.9070    1.6866    2.5915    1.4724    2.5219
GLY  2.0000    1.4965    2.6415    1.4934    2.2392    1.6058    2.6986    1.4890    2.6125
HIS  2.0000    1.4965    2.5485    1.5007    1.9608    1.6319    2.5997    1.4864    2.5285
ILE  2.0000    1.5013    2.4484    1.4948    1.8415    1.6899    2.4743    1.4773    2.4575
LYS  2.0000    1.4849    2.4970    1.4920    1.8352    1.6351    2.5699    1.4654    2.4805
LEU  2.0000    1.4941    2.4458    1.4951    1.8371    1.6204    2.5076    1.4732    2.4392
MET  2.0000    1.4858    2.5345    1.4832    1.8107    1.6313    2.6051    1.4752    2.5107
ASN  2.0000    1.4881    2.5192    1.5004    1.9447    1.5660    2.5632    1.4789    2.5213
PRO  2.0000    1.4791    2.2972    1.4899    1.7893    1.5480    2.3460    1.4732    2.3024
GLN  2.0000    1.4899    2.5044    1.4912    1.8260    1.6174    2.5668    1.4802    2.5013
ARG  2.0000    1.4911    2.5148    1.4951    1.8391    1.6612    2.5646    1.4746    2.5180
SER  2.0000    1.4887    2.5664    1.4853    1.8791    1.6419    2.6153    1.4825    2.5527
THR  2.0000    1.4968    2.5268    1.4945    1.9157    1.6562    2.5597    1.4843    2.5190
VAL  2.0000    1.5015    2.4719    1.4883    1.8381    1.6960    2.4953    1.4852    2.4726
TRP  2.0000    1.4945    2.5493    1.4873    1.8994    1.6320    2.6041    1.4873    2.5379
TYR  2.0000    1.5056    2.5451    1.4982    1.9261    1.6845    2.5822    1.4862    2.5185
