ALA  10.0000    0.5548    1.0763    2.2952    0.2059
CYS  10.0000    0.5762    1.1212    2.5298   -0.1036
ASP  10.0000    0.4876    1.0690    1.7595    0.5131
GLU  10.0000    0.4782    1.0650    2.3409    0.3634
PHE  10.0000    0.5785    1.1227    2.3497   -0.7984
GLY  10.0000    0.5064    1.1231    1.9021    0.1080
HIS  10.0000    0.5253    1.0923    2.1453    0.1665
ILE  10.0000    0.5811    1.0759    2.5634   -0.0102
LYS  10.0000    0.4254    1.0701    2.4633    0.2727
LEU  10.0000    0.5666    1.1349    2.5206    0.0834
MET  10.0000    0.5154    1.1372    2.6104   -0.0633
ASN  10.0000    0.5123    1.1548    1.9882    0.5608
PRO  10.0000    0.6196    1.1002    2.0596    0.8191
GLN  10.0000    0.4628    1.0838    2.3519    0.2611
ARG  10.0000    0.4780    1.0924    2.4231    0.2872
SER  10.0000    0.4953    1.1574    2.3247    0.4788
THE  10.0000    0.4429    1.1046    2.2511    0.3456
VAL  10.0000    0.5498    1.0758    2.5722    0.1371
TRP  10.0000    0.4480    1.1060    2.6873    0.2953
TYR  10.0000    0.5695    1.1309    2.6178   -0.2617
