TRN  0.000000000000000 -0.087539042365493 0.393925690644717 0.0000000000 0.000000000000000 3.000000000000000 -0.012678247988115 0.177229429971593 0.0000000000 1.181777071934152 5.000000000000000 -0.038654613799078 0.101159942042903 0.5567787440 1.789268807915603 7.000000000000000 0.027636481292856 -0.130767740751562 0.4975631466 2.998229153752578 9.000000000000000 -0.007414665712717 0.035051147005574 0.3061299591 3.691376334312523 11.000000000000000 0.002022181558014 -0.009436847270731 0.3573585586 4.384523514872469 13.000000000000000 -0.000674060519338 0.002696242077352 0.3438773482 5.077670695432414 15.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 5.770817875992360 10000.000000000000000
TRC  0.000000000000000 -0.055088848868354 0.247899819907592 0.0000000000 0.000000000000000 3.000000000000000 0.003236733440872 0.073603358060220 0.0000000000 0.743699459722777 5.000000000000000 -0.026854517363437 0.093023758705453 0.3332542335 1.064006759490634 7.000000000000000 0.001165854948615 -0.068103345475168 0.3830950600 1.887774122467644 9.000000000000000 0.038593318379962 -0.061108215783476 0.1246719375 2.390877700139724 11.000000000000000 -0.046249467209322 0.170451694496295 0.3433588949 2.704535258994766 13.000000000000000 0.022622935356419 -0.107045108759639 0.4701720664 3.703064089105893 15.000000000000000 -0.006069568022454 0.028692503378872 0.3134668556 4.396211269665837 17.000000000000000 0.001655336733396 -0.007724904755850 0.3554020529 5.089358450225783 19.000000000000000 -0.000551778911132 0.002207115644529 0.3443664746 5.782505630785728 21.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.475652811345674 10000.000000000000000
TRO  0.000000000000000 -0.048760877870069 0.219423950415311 0.0000000000 0.000000000000000 3.000000000000000 -0.090714125470175 0.384665346033492 0.0000000000 0.658271851245933 5.000000000000000 0.043053709217104 -0.159619406787561 0.4500918785 1.471220231618499 7.000000000000000 -0.031602652717027 0.098702848515062 0.3282587619 2.077356035188815 9.000000000000000 0.024902971013417 -0.090913067787097 0.3438383234 2.875863731406586 11.000000000000000 -0.012364407680566 0.058504758293408 0.2790217044 3.399111875171134 13.000000000000000 0.003317280109420 -0.015681687789986 0.3646678454 4.092259055731079 15.000000000000000 -0.000904712757115 0.004221992866535 0.3417484556 4.785406236291024 17.000000000000000 0.000301570919038 -0.001206283676153 0.3477798740 5.478553416850970 19.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.171700597410915 10000.000000000000000
AH   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
AN   0.000000000000000 -0.156641810320400 0.704888146441800 0.0000000000 0.000000000000000 3.000000000000000 -0.012172369677800 0.052169271451987 0.0000000000 2.114664439325399 5.000000000000000 0.009182411243115 -0.020864946614814 0.0626086497 2.225962567710946 7.000000000000000 0.002474208000943 0.034229520843874 0.0893377981 2.341179370545301 9.000000000000000 -0.008576549448246 0.049074768849533 0.2559463775 2.676566714193275 11.000000000000000 0.000503946605349 -0.002384527839942 0.3493268595 3.316146149044000 13.000000000000000 -0.000135205186801 0.000639151792149 0.3458361074 4.009293329603945 15.000000000000000 0.000036874141855 -0.000172079328656 0.3467702524 4.702440510163890 17.000000000000000 -0.000012291380618 0.000049165522473 0.3465244248 5.395587690723835 19.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.088734871283781 10000.000000000000000
ACA  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
AC   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
AO   0.000000000000000 -0.155173685483763 0.698281584676935 0.0000000000 0.000000000000000 3.000000000000000 -0.008148538185959 0.043860823135482 0.0000000000 2.094844754030804 5.000000000000000 0.004531651691475 -0.005030405980274 0.0776608343 2.205099741085057 7.000000000000000 -0.007967995296367 0.022159504168579 0.1119190307 2.376552999316598 9.000000000000000 0.010789398883459 -0.025648467609623 0.1049411038 2.625285114994031 11.000000000000000 -0.004429164926449 0.039087925691132 0.1318200200 2.818888643233090 13.000000000000000 0.002485872037185 0.012512936132441 0.2350217436 3.203447066521941 15.000000000000000 -0.005796674755555 0.027428168355553 0.3149039526 3.743429274579387 17.000000000000000 0.001555205422222 -0.007351880177777 0.3550565289 4.436576455139332 19.000000000000000 -0.000424146933333 0.001979352355555 0.3443114733 5.129723635699278 21.000000000000000 0.000141382311111 -0.000565529244444 0.3471391195 5.822870816259223 23.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 6.516017996819168 10000.000000000000000
ACB  0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
CH   0.000000000000000 0.000000000000000 0.000000000000000 0.0000000000 0.000000000000000 10000.000000000000000
