AC    -1.6696   1.7292 18924
ACA   -2.1947   1.6261 19010
ACB   -1.8027   1.5882 18985
AH     0.0000   0.0000 0
AN    -1.8510   2.0903 18870
AO    -2.1788   2.4282 18929
CC    -1.9923   2.0406 3109
CCA   -2.7351   2.1273 3128
CCB   -3.7168   2.6950 3128
CH     0.0000   0.0000 0
CN    -2.1929   2.1967 3112
CO    -2.4398   2.2683 3110
CSG   -4.9411   3.4101 3128
DC    -0.4307   1.2452 13160
DCA   -0.2679   1.0530 13197
DCB    0.3089   0.7926 13169
DCG    0.5622   1.1842 13189
DH     0.0000   0.0000 0
DN    -0.1775   1.6200 13153
DO    -0.7482   1.9042 13160
DOD    1.1491   1.4324 26395
EC    -0.2662   1.5901 14417
ECA   -0.5226   1.3434 14494
ECB    0.5856   0.9688 14460
ECD    1.2537   1.5156 14407
ECG    1.2329   1.1132 14488
EH     0.0000   0.0000 0
EN    -0.1516   1.9353 14437
EO    -0.8167   2.2757 14417
EOE    1.6854   1.7048 28912
FC    -1.3781   1.4311 8819
FCA   -1.4784   1.2384 8866
FCB   -1.1178   1.1948 8863
FCD   -0.7472   1.4509 17732
FCE   -2.0024   1.7533 17717
FCG   -0.8758   1.3460 8863
FCZ   -2.6153   1.9666 8866
FH     0.0000   0.0000 0
FN    -1.2991   1.7477 8842
FO    -2.2422   2.1398 8821
GC    -0.8379   1.1176 17152
GCA   -0.8846   1.0110 17254
GH     0.0000   0.0000 0
GN    -1.0430   1.3701 17167
GO    -1.0182   1.3837 17174
HC    -1.0664   1.3639 5152
HCA   -1.0116   1.0608 5193
HCB   -0.5953   0.9212 5187
HCD    0.1751   1.5043 5196
HCE   -0.1983   1.3192 5192
HCG   -0.2336   1.0699 5195
HE     0.0000   0.0000 0
HH     0.0000   0.0000 0
HHD    0.0000   0.0000 0
HHE    0.0000   0.0000 0
HN    -1.0134   1.6108 5176
HND    0.2843   1.2556 5195
HNE   -0.1224   1.4478 5189
HO    -1.9787   1.8937 5152
